Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month)
2012-11-14 06:40:34,1352855434.0,hrs,41.081161,41.55,121.607964,34.77,5440000000.0,7110000000.0,N/A,9.24,3.18,1.02,2.94,1.32,6.22,-3.29,17.25,10.1,27.53,5380000000.0,47.8,-5.6,1880000000.0,1140000000.0,550400000.0,-1.63,N/A,330900000.0,2.91,1980000000.0,106.73,1.88,16.35,894700000.0,404590000.0,1.34,48.87,44.6,946695.0,113560000.0,113130000.0,0.41,89.9,4340000.0,4.1,3.9,4870000.0
2012-11-18 17:15:45,1353239145.0,hrs,40.695404,42.53,122.001595,34.45,5270000000.0,6920000000.0,N/A,8.94,3.06,0.98,2.83,1.29,6.05,-3.29,17.25,10.1,27.53,5380000000.0,47.8,-5.6,1880000000.0,1140000000.0,550400000.0,-1.63,N/A,330900000.0,2.91,1980000000.0,106.73,1.88,16.35,894700000.0,404590000.0,1.34,48.47,44.64,980286.0,113560000.0,113130000.0,0.41,89.9,4340000.0,4.1,3.9,4870000.0
2013-05-13 02:02:15,1368390735.0,hrs,43.633392,59.09,148.001923,18.5,5350000000.0,6810000000.0,31.34,10.49,3.25,1.02,3.17,1.31,6.49,3.6,16.47,9.96,29.49,5190000000.0,46.47,-12.1,1880000000.0,1050000000.0,522100000.0,1.56,N/A,459100000.0,4.19,1920000000.0,114.84,1.47,15.33,882900000.0,684460000.0,1.21,45.0,46.97,986541.0,109580000.0,109160000.0,0.41,86.3,4220000.0,3.8,3.8,5310000.0
2006-08-29 00:09:16,1156790356.0,hst,15.222595000000002,2.58,102.583801,14.28,11470000000.0,16590000000.0,16.17,11.42,2.27,2.7,2.22,3.96,16.577,13.63,14.35,3.78,4.74,4190000000.0000005,10.611,25.5,945000000.0,1000000000.0,150000000.0,1.36,262.6,524000000.0,1.007,5720000000.0,1.1,0.828,9.802,626000000.0,636380000.0,0.8,21.91,20.92,2395720.0,520460000.00000006,495110000.0,4.04,97.1,23120000.0,8.4,4.6,21680000.0
2007-02-20 06:13:13,1171932193.0,hst,19.324099,-36.74,115.875847,-5.21,14390000000.0,20100000000.0,20.47,14.85,1.19,3.23,2.83,4.46,18.375,13.67,14.55,4.12,5.77,4510000000.0,10.325,39.6,945000000.0,1090000000.0,194000000.0,1.35,N/A,223000000.0,0.428,5840000000.0,1.114,0.488,9.879,807000000.0,144000000.0,1.05,25.99,23.86,3052400.0,520789999.99999994,495430000.0,1.0,86.8,22230000.0,9.8,4.5,23660000.0
2007-04-12 11:57:44,1176359264.0,hst,18.614595,-31.64,115.23611499999998,-6.0,13850000000.0,19470000000.0,17.82,12.54,0.97,2.84,2.69,3.99,15.485,15.12,15.67,4.97,8.09,4880000000.0,10.133,40.3,1680000000.0,1260000000.0,289000000.0,1.48,164.9,364000000.0,0.695,5880000000.0,1.126,0.912,9.835,881000000.0,162500000.0,1.15,26.29,25.02,5126520.0,523780000.0,498280000.0,0.96,92.0,21820000.0,5.9,4.3,26020000.0
2007-07-06 21:18:49,1183736929.0,hst,17.980131,-45.67,122.389099,-15.77,13140000000.0,18970000000.0,17.76,21.7,2.61,2.67,2.6,3.72,14.471,14.78,15.51,4.92,8.3,5100000000.0,9.842,25.8,1680000000.0,1310000000.0,324000000.0,1.417,8.7,1170000000.0,2.243,6470000000.0,1.218,6.613,9.985,902000000.0,336250000.0,0.93,23.8946,25.4169,4202790.0,522049999.99999994,472980000.0,1.0,99.4,27850000.0,6.2,5.6,28790000.0
2008-05-05 06:13:42,1209948222.0,hst,13.29884,-49.26,114.367355,-34.0,9420000000.0,14820000000.0,16.37,9.02,1.13,1.71,1.75,2.71,10.356,11.0,16.58,4.68,10.61,5460000000.0,10.46,2.6,3170000000.0,1430000000.0,560000000.0,1.1,-67.4,317000000.0,0.607,5620000000.0,1.038,2.112,10.213,1110000000.0,295750000.0,1.27,16.91,17.79,7012980.0,522230000.0,502050000.0,3.42,102.5,45120000.0,6.5,9.0,41120000.0
2008-09-29 23:49:54,1222712394.0,hst,9.51226,-3.87,91.429771,-2.36,6440000000.0,12750000000.0,10.54,7.6,0.95,1.32,1.33,2.32,8.861,11.68,16.37,4.72,11.06,5500000000.0,10.532,2.4,3170000000.0,1440000000.0,594000000.0,1.18,27.5,505000000.0,0.972,5910000000.0,1.064,8.333,10.524,1120000000.0,125380000.0,1.57,14.26,15.36,10177500.0,519470000.0,498950000.0,3.44,108.0,61360000.0,7.5,12.3,58880000.0
2011-11-15 05:13:48,1321314228.0,hst,11.359115,0.11,110.431099,10.12,9840000000.0,15020000000.0,N/A,12.79,0.61,2.06,1.46,3.1,16.5,-0.79,6.36,1.55,-0.49,4840000000.0,7.08,13.5,2730000000.0,910000000.0,-32000000.0,-0.05,N/A,524000000.0,0.74,5490000000.0,79.32,2.03,9.63,591000000.0,135380000.0,2.85,12.68,14.34,10967000.0,706230000.0,691550000.0,3.24,101.7,39420000.0,3.5,N/A,35910000.0
